"id","judul_bab","file","textpreprocessing"
"1","Hadis Tentang Wahyu","1. Hadis Tentang Wahyu/1.txt","riwayat aisyah ibu orangorang iman bahwasanya kata permualaan wahyu datang rasulullah shallallahu alaihi wassalam lalu mimpi benar tidur tidak beliau mimpi datang buah cahaya subuh tidak beliau mimpi datang buah cahaya subuh beliau senang diri beliau pilih gua hira bertahannuts ibadah malam hari beberapa waktu lama kemudian keluarga siap bekal bertahannuts kemudian beliau temu khadijah siap bekal akhir datang alhak malaikat beliau sedang ada gua hira malaikat datang kata baca beliau jawab aku bisa baca nabi shallallahu alaihi wassalam jelas malaikat pegang peluk sangat erat kemudian lepas ku kata baca beliau jawab aku bisa baca malaikat pegang peluk sangat erat kemudian lepas kata lagibacalah beliau jawab aku bisa baca malaikat pegang peluk tiga kali sangat kuat lalu lepas kata iqrabismi rabbikalladzi khalaq khalaqal isaana minalaq iqrawarabbukal akram baca sebut nama tuhan mencipatkan mencipatakan manusia gumpal darah baca tuhan maha murah nabi shallallahu alaihi wassalam keluarga bawa kalimat wahyu ada gelisah beliau temu khadijah binti khawailidh kata selimut aku selimut aku beliau limut hingga hilang kuat lalu beliau cerita peristiwa jadi kepada khadijah aku khawatir diri khadijah kata allah allah celaka lama engkau orang sambung silaturahim tolong orang susah mulia tamu bela orang ada jalan benar kemudian khadijah ajak beliau temu waraqah bin naufal bin asad bin abdul uzza putra paman khadijah agama nasrani masa jahiliyah tulis buku bahasa ibrani tulis kitab injil bahasa ibrani izin allah waraqah tua mata buta khadijah kata kepada wahai putra paman dengar apa sampai putra saudara muhammad shallallahu alaihi wassalam waraqah kata wahai putra saudara apa telah engkau alami rasulullah shallallahu alaihi wassalam cerita peristiwa alam bertahannuts gua hira waraqah kata adalah namus malaikat jibril pernah allah turun kepada musa anda aku muda aku hidup kamu usir kaum rasulullah shallallahu alaihi wassalam tanya aku usir mereka waraqah jawab iya satu orang datang bawa apa engkau bawa kecuali musuh anda aku hidup jadi pasti aku akan tolong kuat tenaga waraqah alami peristiwa yakin sebut dia lebih tinggal dunia masa fatroh tidak turun wahyu beberapa waktu ibnu syihab kata telah abar kepada abu salamah bin abdurrahman jabir bin abdullah alanshari tutur henti turun wahyu beberapa waktu bagaimana rasulullah shallallahu alaihi wassalam cerita aku sedang jalan aku dengar suara langit aku pandang atas nyata malaikat pernah datang kepada gua hira sedang duduk atas kursi langit bumi aku takut segera pulang kata khadijah selimut aku selimut aku allah taala turun wahyu wahai orang yang selimut bangun lalu ilah ingat agung tuhan sih pakai dan tinggal buat yang keji sejak saat itu wahyu turun terus sambung hr imam albukhari"
"2","Hadis Tentang Wahyu","1. Hadis Tentang Wahyu/2.txt","riwayat aisyah ibu kaum mukminin alharrits bin hisyam tanya rasulullah shallallahu alaihi wassalam wahai rasulullah bagaimana cara wahyu turun engkau rasulullah shallallahu alaihi wassalam jawab terkadang datang kepada suara gerincing lonceng cara paling berat buat lalu henti aku erti apa sampai terkadang datang malaikat rupa orang lakilaki lalu bicara kepada aku ikut apa ucap aisyah kata sungguh aku pernah lihat turun wahyu beliau shallallahu alaihi wassalam suatu hari yang dingin lalu henti aku lihat dahi beliau kucur keringat hr imam albukhari"
"3","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/1.txt","riwayat abu hurairah radhiallahu anhu kata nabi shallallahu alaihi wassalam sabda sungguh agama mudah tidak orang sulit agama dia kalah makin berat sulit laku lurus kalian amal saleh dekat yang benar ilah kabar gembira minta tolong alghadwah berangkat awal pagi arruhah berangkat zuhur sesuatu adduljah berangkat waktu malam hr imam albukhari"
"4","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/2.txt","riwayat anas bin malik nabi shallallahu alaihi wassalam beliau sabda dapat tiga perkara dapat buat orang dapat manis iman allah rasul lebih cinta selain dua ia cinta orang tidak cinta karena allah dia benci kepada kufur dia benci apabila lempar dalam neraka hr imam albukhari"
"5","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/3.txt","diriwiyatkan abu hurairah radhiallahu anhu kata rasulullah shallallahu alaihi wassalam sabda orangorang banyak sebut istilah alkarmu mulia padahal sejati alkarmu mulia hati orang mukmin hr imam albukhari"
"6","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/4.txt","riwayat abdullah bin masud nabi shallallahu alaihi wassalam beliau sabda sungguh orang mukmin lihat dosadosanya duduk pangkal gunung khawatir gunung akan timpa orang faajir orang yag selalu buat dosa lihat dosadosanya lalat tempel batang hidung kemudian usir ini lalu terbang abu syihab isyarat tangan atas hidung juga kata allah rasa gembira tobat orang hamba lebih gembira orang tengah singgah suatu tempat cekam tani hewan tunggang bekal makan minum ada sama tunggang kemudian letak kepala kemudian tidur bangun tidur nyata hewan tunggang lepas bawa bekal makan minum ia rasa sangat panas haus seperti hendak allah ia pun kata baik kau saja tempat tidur mula kemudian ia kembali tidur ia angkat kepala ternayat hewan tunggang ada sis hr imam albukhari"
"7","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/5.txt","riwayat aidi bin hatim radhiallahu anhu kata nabi shallallahu alaihi wassalam sabda tiada orang antara kalian allah ajak bicara hari kiamat tidak juru terjemah dia allah kemudian perhati tidak lihat apa hadap lantas lihat depan lanjut datang api siapa di antara kalian mampu hindar neraka sekalipun dengan biji kurma hr imam albukhari"
"8","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/6.txt","riwayat ubadah bin ashshamit rasulullah shallallahu alaihi wassalam besabda ada tengahtengah bagi sahabat janji kalian kepada sekutu allah sesuatu apa curi zina bunuh anakanak kalian buat bohong kalian adaadakan tangan kaki kalian tidak maksiat perkara makruf baik barang siapa antara kalian penuh allah beri pahala barang siapa langgar sebut allah hukum dunia upa kafarat denda atas langgar larang bagi barang siapa langgar halhal sebut kemudian allah tutup tidak hukum dunia urus allah dia mau maaf siksa kami janji kepada beliau perkaraperkara sebut hr imam albukhari"
"9","Hadis Tentang Akidah, Iman, dan Islam","2. Hadis Tentang Akidah, Iman, dan Islam/7.txt","riwayat ashshaba bin jutsamah kata rasulullah shallallahu alaihi wassalam sabda ada lindung kepada allah rasul hr imam albukhari"
"10","Hadis Tentang Ilmu","3. Hadis Tentang Ilmu/1.txt","imam albukhari kata rasulullah shallallahu alaihi wassalam sabda barang siapa allah hendak jadi baik allah paham hadap ilmu agama ilmu oleh ajar hr imam albukhari"
